Nombre,Precio,URL,País de origen,Productor,Fermentación,Estilo,Graduación,IBU
CERVEZA ALEMANA ERDINGER DUNKEL LATA 500 ML,$ 14.000,https://thecapitalbeer.com/product/cerveza-alemana-erdinger-dunkel-lata-500-ml/,Erding – Alemania,Erdinger Weissbräu,Ale,Dunkel,5.3%,14
CERVEZA ALEMANA ERDINGER URWEISSE BOTELLA 500 ML,$ 16.500,https://thecapitalbeer.com/product/cerveza-alemana-erdinger-urweisse-botella-500-ml/,Erding – Alemania,Erdinger Weissbräu,Ale,Weissbier,4.9%,12
CERVEZA ALEMANA ERDINGER OKTOBERFEST BOTELLA 500 ML,$ 16.500,https://thecapitalbeer.com/product/cerveza-alemana-erdinger-oktoberfest-botella-500-ml/,Erding – Alemania,Erdinger Weissbräu,Ale,FestWeissbier,5.7%,10
CERVEZA ALEMANA ERDINGER PIKANTUS BOTELLA 500 ML,$ 18.000,https://thecapitalbeer.com/product/cerveza-alemana-erdinger-pikantus-botella-500-ml/,Erding – Alemania,Erdinger Weissbräu,Blend,WeizenBock,7.3%,10
CERVEZA ALEMANA ERDINGER ALKOHOLFREI BOTELLA 330 ML,$ 10.500,https://thecapitalbeer.com/product/cerveza-alemana-erdinger-alkoholfrei-botella-330-ml/,Erding – Alemania,Erdinger Weissbräu,Ale,Alkoholfree,<0.4%,17
CERVEZA ALEMANA ERDINGER ALKOHOLFREI BOTELLA 500 ML,$ 15.000,https://thecapitalbeer.com/product/cerveza-alemana-erdinger-alkoholfrei-botella-500-ml/,Erding – Alemania,Erdinger Weissbräu,Ale,Alkoholfree,<0.4%,17
CERVEZA ALEMANA HOFBRAU DUNKEL BOTELLA 500 ML,$ 16.500,https://thecapitalbeer.com/product/cerveza-alemana-hofbrau-dunkel-botella-500-ml/,Múnich – Alemania,HofBräu München,Lager,Munchen Dunkel,5.5%,23
CERVEZA ALEMANA HOFBRAU ORIGINAL BOTELLA 500 ML,$ 16.500,https://thecapitalbeer.com/product/cerveza-alemana-hofbrau-original-botella-500-ml/,Múnich – Alemania,HofBräu München,Lager,Múnich Helles,5.1%,24
CERVEZA ALEMANA HOFBRAU WEISSBIER BOTELLA 500 ML,$ 16.500,https://thecapitalbeer.com/product/cerveza-alemana-hofbrau-weissbier-botella-500-ml/,Múnich – Alemania,HofBräu München,Ale,Weisse,5.1%,14
CERVEZA ALEMANA HOFBRAU OKTOBERFEST BOTELLA 500 ML,$ 16.500,https://thecapitalbeer.com/product/cerveza-alemana-hofbrau-oktoberfest-botella-500-ml/,Múnich – Alemania,HofBräu München,Lager,Märzen,6.3%,23
CERVEZA ALEMANA PAULANER DUNKEL BOTELLA 500 ML,$ 20.000,https://thecapitalbeer.com/product/cerveza-alemana-paulaner-dunkel-botella-500-ml/,,Paulaner Braueri,Ale,Weissbier Dunkel,5.3%,12
CERVEZA ALEMANA PAULANER WEISSBIER NATURTRUB BOTELLA 500 ML,$ 20.000,https://thecapitalbeer.com/product/cerveza-alemana-paulaner-weissbier-naturtrub-botella-500-ml/,,Paulaner Braueri,Ale,German HefeWeizen,5.5 %,12
CERVEZA BELGA BLANCHE CHARLEROI BOTELLA 330 ML,$ 16.000,https://thecapitalbeer.com/product/cerveza-belga-blanche-charleroi-botella-330-ml/,,Brasserie de l’Abbaye d’Aulne,Ale,Belgian Wheat,5.0%,12
CERVEZA ALEMANA SCHOFFERHOFER DUNKEL BOTELLA 500 ML,$ 15.000,https://thecapitalbeer.com/product/cerveza-alemana-schofferhofer-dunkel-botella-500-ml/,,,,,,
OKTOBERFEST 2025 FULL – MÚNICH,$ 75.000,https://thecapitalbeer.com/product/boletas-munich/,,,,,,
OKTOBERFEST 2025 FULL – BAVIERA,$ 88.000,https://thecapitalbeer.com/product/boletas_baviera/,,,,,,
