estilo,era,origen,fermentacion,color,intensidad,sabor,ibu_prom,abv_prom_%,cluster,nombre_cluster
schwarzbier,Traditional,Central Europe,lager,oscura,media,balanceada,27.5,4.9,0,Refrescantes y Ligeras
märzen,Traditional,Germany,lager,ambar,media,maltosa,21.0,5.95,0,Refrescantes y Ligeras
rauchbier,Traditional,Germany,lager,ambar,media,maltosa,25.0,5.4,0,Refrescantes y Ligeras
dunkles bock,Traditional,Germany,lager,ambar,intensa,maltosa,23.5,6.75,0,Refrescantes y Ligeras
kentucky common,Historical,United States,ale,ambar,media,balanceada,22.5,4.75,0,Refrescantes y Ligeras
london brown ale,Historical,Great Britain,ale,oscura,ligera,maltosa,17.5,3.2,0,Refrescantes y Ligeras
piwo grodziskie,Historical,Poland,ale,clara,ligera,amarga,27.5,2.9,0,Refrescantes y Ligeras
pre-prohibition lager,Historical,United States,lager,clara,media,amarga,32.5,5.25,0,Refrescantes y Ligeras
scottish light,Traditional,Great Britain,ale,ambar,ligera,maltosa,15.0,2.9,0,Refrescantes y Ligeras
scottish heavy,Traditional,Great Britain,ale,ambar,ligera,maltosa,15.0,3.6,0,Refrescantes y Ligeras
scottish export,Traditional,Great Britain,ale,ambar,media,maltosa,22.5,4.95,0,Refrescantes y Ligeras
